age,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
59,married,secondary,no,42,no,no,cellular,40,1,-1,0,unknown,no
32,single,tertiary,no,2536,yes,no,cellular,958,6,-1,0,unknown,yes
49,married,tertiary,no,1235,no,no,cellular,354,3,-1,0,unknown,yes
42,divorced,secondary,no,1811,yes,no,unknown,150,1,-1,0,unknown,no
78,divorced,primary,no,229,no,no,telephone,97,1,-1,0,unknown,yes
32,married,secondary,no,2089,yes,no,cellular,132,1,-1,0,unknown,yes
33,married,secondary,no,3935,yes,no,cellular,765,1,342,2,failure,yes
23,single,tertiary,no,363,yes,no,unknown,16,18,-1,0,unknown,no
38,single,tertiary,no,11971,yes,no,unknown,609,2,101,3,failure,no
36,single,tertiary,no,553,no,no,cellular,106,2,-1,0,unknown,no
52,married,secondary,no,1117,yes,no,cellular,365,1,-1,0,unknown,no
32,married,tertiary,no,396,yes,no,cellular,205,3,-1,0,unknown,no
32,single,tertiary,no,2204,yes,no,cellular,11,4,-1,0,unknown,no
34,single,tertiary,no,872,yes,no,unknown,105,2,-1,0,unknown,no
55,married,primary,no,145,no,no,telephone,59,3,5,2,other,no
26,married,primary,no,0,yes,no,unknown,425,1,-1,0,unknown,no
32,single,primary,yes,-849,yes,yes,cellular,204,1,-1,0,unknown,no
61,married,unknown,no,4629,yes,no,cellular,181,1,92,1,success,yes
45,divorced,primary,no,844,no,no,unknown,1018,3,-1,0,unknown,yes
37,single,secondary,no,228,yes,no,cellular,1740,2,-1,0,unknown,no
38,single,secondary,no,50,no,no,cellular,98,2,-1,0,unknown,no
34,married,tertiary,no,1539,yes,no,cellular,441,1,56,1,other,yes
53,married,secondary,no,2231,yes,no,cellular,272,3,-1,0,unknown,no
48,married,secondary,no,3064,yes,no,telephone,159,2,-1,0,unknown,no
57,married,secondary,no,82,no,yes,telephone,140,1,-1,0,unknown,no
33,single,tertiary,no,2155,no,no,cellular,295,1,-1,0,unknown,no
36,single,secondary,no,101,yes,yes,unknown,314,1,-1,0,unknown,no
54,divorced,secondary,no,784,yes,yes,unknown,579,1,-1,0,unknown,no
41,married,primary,no,-516,no,yes,telephone,554,3,-1,0,unknown,no
63,married,secondary,no,415,yes,no,cellular,323,1,-1,0,unknown,no
48,married,tertiary,no,5887,no,no,cellular,227,2,-1,0,unknown,no
48,married,secondary,no,1355,no,no,cellular,134,2,-1,0,unknown,no
56,married,secondary,no,16873,no,no,cellular,223,1,-1,0,unknown,no
51,divorced,secondary,no,203,yes,no,cellular,134,1,170,5,failure,no
31,married,secondary,no,338,yes,no,cellular,155,1,-1,0,unknown,no
29,married,secondary,no,444,yes,no,cellular,130,4,-1,0,unknown,no
41,married,secondary,no,0,no,yes,cellular,630,3,-1,0,unknown,no
32,single,tertiary,no,360,no,no,cellular,164,2,-1,0,unknown,no
37,married,tertiary,no,0,no,no,cellular,268,2,182,3,success,yes
42,divorced,tertiary,yes,2,yes,no,unknown,380,1,-1,0,unknown,no
31,single,tertiary,no,6248,yes,no,unknown,154,2,-1,0,unknown,no
41,married,tertiary,no,412,yes,no,unknown,154,5,-1,0,unknown,no
56,married,secondary,no,344,yes,no,unknown,221,1,-1,0,unknown,no
54,divorced,tertiary,no,3222,no,no,cellular,67,2,-1,0,unknown,no
41,divorced,secondary,no,174,yes,no,cellular,367,2,297,1,other,no
40,single,secondary,no,591,no,yes,cellular,87,6,-1,0,unknown,no
50,divorced,primary,no,388,no,no,cellular,701,1,-1,0,unknown,no
40,married,secondary,no,219,yes,no,cellular,204,2,196,1,failure,no
27,divorced,secondary,no,451,yes,no,cellular,652,1,-1,0,unknown,yes
60,married,primary,no,5,no,no,cellular,63,2,-1,0,unknown,no
28,single,secondary,no,177,yes,yes,cellular,150,1,-1,0,unknown,no
52,married,secondary,no,657,no,no,telephone,398,2,460,2,failure,yes
37,married,tertiary,no,1315,no,no,cellular,224,1,-1,0,unknown,yes
51,married,primary,no,1466,yes,no,unknown,406,2,-1,0,unknown,no
41,single,secondary,no,879,no,yes,cellular,60,4,-1,0,unknown,no
35,single,primary,no,293,yes,no,unknown,521,2,-1,0,unknown,no
38,married,secondary,no,424,yes,no,cellular,279,1,-1,0,unknown,no
34,married,secondary,no,1831,yes,no,unknown,203,2,-1,0,unknown,no
39,married,primary,no,111,no,no,cellular,201,2,-1,0,unknown,no
34,married,primary,no,455,yes,no,unknown,372,3,-1,0,unknown,no
27,single,secondary,no,-195,yes,no,cellular,391,1,-1,0,unknown,yes
32,single,tertiary,no,3616,no,no,cellular,165,2,-1,0,unknown,no
57,married,secondary,no,14093,no,no,cellular,231,5,-1,0,unknown,no
41,single,tertiary,no,1567,no,no,cellular,291,2,-1,0,unknown,no
41,married,tertiary,no,5426,yes,no,unknown,149,2,-1,0,unknown,no
30,single,tertiary,no,261,no,no,cellular,233,1,137,20,failure,no
36,divorced,secondary,no,2843,no,no,cellular,473,1,182,1,success,no
31,single,primary,no,406,no,no,cellular,736,1,-1,0,unknown,yes
36,married,secondary,no,0,yes,no,unknown,337,1,-1,0,unknown,no
38,single,tertiary,no,493,yes,no,cellular,553,1,367,7,failure,no
49,married,secondary,no,5996,no,no,telephone,345,2,-1,0,unknown,no
57,single,primary,no,3777,yes,no,telephone,65,2,-1,0,unknown,no
34,single,secondary,no,524,no,no,unknown,9,1,-1,0,unknown,no
32,single,tertiary,no,574,yes,no,cellular,259,2,145,3,failure,no
37,married,secondary,no,427,yes,yes,unknown,371,3,-1,0,unknown,no
33,married,tertiary,no,483,yes,no,cellular,280,2,-1,0,unknown,no
56,married,primary,no,3391,no,no,cellular,243,1,-1,0,unknown,yes
27,married,primary,no,0,yes,no,cellular,435,3,-1,0,unknown,no
21,single,secondary,no,2488,no,no,cellular,258,6,169,3,success,yes
58,married,tertiary,no,1517,yes,no,telephone,7,5,-1,0,unknown,no
32,married,secondary,no,217,yes,yes,cellular,317,5,-1,0,unknown,no
33,single,secondary,no,22,no,no,cellular,76,2,207,1,failure,no
25,single,secondary,no,331,no,no,telephone,170,4,-1,0,unknown,yes
25,single,secondary,no,505,no,yes,cellular,386,2,-1,0,unknown,yes
30,married,secondary,no,1808,yes,no,cellular,83,2,-1,0,unknown,no
22,single,secondary,no,4111,no,yes,cellular,65,1,-1,0,unknown,no
39,married,primary,no,52,no,no,cellular,69,1,-1,0,unknown,no
46,divorced,tertiary,no,25,no,no,unknown,564,2,-1,0,unknown,no
31,divorced,secondary,no,1890,yes,no,cellular,588,1,-1,0,unknown,no
45,married,primary,no,419,no,no,cellular,113,4,-1,0,unknown,no
32,married,secondary,no,2693,yes,no,unknown,16,1,-1,0,unknown,no
36,married,secondary,no,-231,no,yes,cellular,779,2,-1,0,unknown,no
51,single,tertiary,yes,-55,yes,no,cellular,281,2,266,6,failure,no
34,single,tertiary,no,462,no,no,cellular,1877,3,-1,0,unknown,yes
24,single,secondary,no,119,no,no,unknown,51,1,-1,0,unknown,no
45,single,secondary,no,586,no,yes,cellular,32,3,-1,0,unknown,no
32,single,secondary,no,228,no,no,telephone,176,1,288,3,failure,no
77,divorced,tertiary,no,4659,no,no,cellular,161,1,-1,0,unknown,yes
41,married,primary,no,168,yes,no,cellular,187,3,-1,0,unknown,no
37,married,primary,no,0,yes,no,unknown,24,1,-1,0,unknown,no
43,married,unknown,yes,-715,yes,no,unknown,67,3,-1,0,unknown,no
48,married,unknown,no,0,yes,no,cellular,85,1,168,2,failure,no
27,single,secondary,no,769,yes,no,unknown,317,2,-1,0,unknown,no
33,single,tertiary,no,0,no,no,cellular,236,10,-1,0,unknown,no
29,single,secondary,no,428,yes,yes,cellular,54,1,345,2,failure,no
34,single,tertiary,no,0,no,no,cellular,71,1,-1,0,unknown,no
52,married,tertiary,no,-970,yes,no,cellular,489,1,-1,0,unknown,yes
60,married,unknown,no,6313,no,no,unknown,39,2,-1,0,unknown,no
32,divorced,tertiary,no,948,no,no,cellular,204,2,-1,0,unknown,no
32,single,tertiary,no,0,yes,no,cellular,455,2,-1,0,unknown,no
56,divorced,unknown,no,1877,yes,no,unknown,86,1,-1,0,unknown,no
31,single,tertiary,no,874,yes,no,cellular,190,2,-1,0,unknown,no
42,married,secondary,no,323,yes,yes,unknown,280,2,-1,0,unknown,no
35,married,tertiary,no,106,no,yes,cellular,588,2,-1,0,unknown,no
56,married,primary,no,1906,no,yes,unknown,45,9,-1,0,unknown,no
48,married,secondary,no,1152,yes,no,cellular,168,5,-1,0,unknown,no
46,married,secondary,no,179,yes,no,cellular,194,4,436,1,other,no
37,single,unknown,no,391,yes,no,unknown,103,3,-1,0,unknown,no
41,married,unknown,no,89,yes,no,unknown,333,2,-1,0,unknown,no
36,single,tertiary,no,442,yes,yes,cellular,102,3,-1,0,unknown,no
45,divorced,primary,yes,-249,yes,yes,unknown,92,1,-1,0,unknown,no
55,married,secondary,no,8104,no,no,cellular,213,2,-1,0,unknown,no
39,married,secondary,no,501,no,no,unknown,289,1,-1,0,unknown,no
35,divorced,secondary,no,308,no,no,cellular,77,2,-1,0,unknown,no
55,married,secondary,no,602,no,no,cellular,324,3,90,2,success,yes
55,married,secondary,no,273,yes,no,cellular,84,3,183,3,failure,no
27,single,secondary,no,50,no,no,cellular,168,1,-1,0,unknown,no
34,married,secondary,no,1641,yes,no,cellular,380,1,-1,0,unknown,no
34,married,tertiary,no,20,no,no,unknown,10,1,-1,0,unknown,no
25,single,secondary,no,4590,yes,no,unknown,199,2,-1,0,unknown,no
41,single,secondary,no,-256,no,yes,unknown,35,3,-1,0,unknown,no
43,married,secondary,no,978,yes,yes,unknown,82,2,-1,0,unknown,no
28,single,tertiary,no,80,no,no,cellular,676,2,146,2,failure,yes
31,single,secondary,no,2104,yes,no,unknown,455,1,-1,0,unknown,no
78,married,secondary,no,499,no,no,telephone,80,4,-1,0,unknown,no
45,divorced,secondary,no,1269,yes,no,cellular,549,2,-1,0,unknown,no
48,married,tertiary,no,310,no,no,unknown,135,1,-1,0,unknown,no
32,single,secondary,no,1143,yes,yes,cellular,412,1,-1,0,unknown,no
42,married,secondary,no,2980,no,no,unknown,101,3,-1,0,unknown,no
37,single,tertiary,no,37,no,no,cellular,253,2,-1,0,unknown,no
40,single,secondary,no,462,yes,yes,cellular,272,1,335,4,other,no
32,married,secondary,no,1031,yes,no,cellular,84,1,-1,0,unknown,no
42,married,tertiary,no,9009,no,no,cellular,135,2,-1,0,unknown,no
43,married,secondary,no,-465,yes,yes,cellular,166,1,-1,0,unknown,no
44,married,secondary,no,5181,yes,yes,cellular,18,7,-1,0,unknown,no
37,married,secondary,no,176,yes,no,cellular,147,2,347,1,failure,no
37,married,unknown,no,1699,no,no,unknown,63,1,-1,0,unknown,no
37,married,tertiary,no,0,yes,no,cellular,65,2,119,1,failure,no
28,single,tertiary,no,172,yes,yes,cellular,194,2,-1,0,unknown,no
32,single,secondary,no,0,no,yes,cellular,333,2,-1,0,unknown,no
34,single,secondary,no,6979,yes,no,cellular,14,5,-1,0,unknown,no
40,divorced,secondary,no,6,no,no,unknown,140,1,-1,0,unknown,no
34,married,secondary,no,-62,yes,no,unknown,109,3,-1,0,unknown,no
34,married,tertiary,no,1972,yes,no,cellular,61,2,-1,0,unknown,no
34,married,tertiary,no,899,yes,no,telephone,377,3,7,4,success,no
37,single,secondary,no,21,yes,no,cellular,96,1,271,2,other,no
36,married,secondary,no,23,yes,no,cellular,152,2,347,1,failure,no
56,married,secondary,no,-1206,yes,no,cellular,382,2,-1,0,unknown,yes
49,married,primary,no,0,yes,yes,telephone,97,6,-1,0,unknown,no
33,married,secondary,no,215,yes,no,cellular,543,12,-1,0,unknown,no
30,single,tertiary,no,1372,no,no,cellular,240,2,-1,0,unknown,no
36,married,secondary,no,1981,no,no,unknown,48,2,-1,0,unknown,no
23,single,secondary,no,9216,no,no,cellular,471,2,-1,0,unknown,no
57,divorced,secondary,no,39,yes,no,cellular,354,3,-1,0,unknown,no
27,single,secondary,no,5563,yes,no,unknown,435,2,-1,0,unknown,no
38,married,secondary,no,1,no,yes,cellular,152,2,-1,0,unknown,no
42,married,tertiary,no,782,no,no,cellular,285,1,-1,0,unknown,no
75,married,secondary,no,3771,no,no,telephone,185,1,181,2,success,yes
34,single,tertiary,no,992,yes,no,cellular,301,1,88,2,success,no
48,married,secondary,no,1526,no,no,cellular,273,2,-1,0,unknown,no
35,single,tertiary,no,2658,yes,no,cellular,768,2,141,3,failure,yes
39,divorced,tertiary,no,1315,yes,no,cellular,1337,4,126,1,failure,no
29,single,tertiary,no,455,no,no,telephone,403,1,-1,0,unknown,yes
45,single,tertiary,no,0,yes,no,cellular,139,2,-1,0,unknown,no
42,married,secondary,no,2030,yes,yes,cellular,196,1,-1,0,unknown,no
29,married,secondary,no,1599,yes,no,cellular,115,1,61,1,failure,no
38,single,secondary,no,-196,yes,no,cellular,60,1,271,1,failure,no
56,married,secondary,no,1333,no,no,cellular,17,14,-1,0,unknown,no
36,single,secondary,no,9149,yes,no,cellular,141,3,-1,0,unknown,no
25,single,secondary,no,-350,yes,no,unknown,95,3,-1,0,unknown,no
38,married,tertiary,no,432,yes,no,cellular,10,2,373,1,other,no
57,married,secondary,no,11494,no,no,cellular,198,1,-1,0,unknown,no
31,married,tertiary,yes,-253,no,no,cellular,220,4,-1,0,unknown,no
42,married,tertiary,no,372,yes,no,cellular,654,2,-1,0,unknown,yes
45,married,secondary,no,1410,no,no,cellular,71,2,-1,0,unknown,no
30,married,secondary,no,975,yes,no,cellular,256,2,351,2,failure,no
49,married,primary,no,305,yes,yes,telephone,834,10,-1,0,unknown,no
49,married,secondary,no,400,no,no,cellular,151,3,-1,0,unknown,no
53,married,tertiary,no,-22,yes,no,cellular,20,3,-1,0,unknown,no
37,married,secondary,no,4030,yes,no,unknown,178,5,-1,0,unknown,no
49,married,primary,no,365,no,no,unknown,59,2,-1,0,unknown,no
41,married,primary,no,204,no,no,cellular,111,7,-1,0,unknown,no
54,married,primary,no,1691,yes,no,cellular,186,1,-1,0,unknown,no
32,single,secondary,no,406,yes,no,unknown,227,1,-1,0,unknown,no
33,married,secondary,no,-204,no,no,cellular,297,3,-1,0,unknown,no
33,married,secondary,no,359,yes,no,cellular,210,1,242,1,other,no
36,married,primary,no,123,yes,no,cellular,9,1,-1,0,unknown,no
35,married,tertiary,no,0,yes,yes,cellular,112,1,62,6,other,no
52,married,secondary,no,142,no,no,cellular,112,6,-1,0,unknown,no
40,married,tertiary,no,3571,no,no,unknown,222,3,-1,0,unknown,no
44,single,secondary,no,33,yes,no,cellular,195,3,351,10,failure,no
45,single,secondary,no,0,yes,no,cellular,768,2,91,5,success,no
30,single,secondary,no,3096,no,no,cellular,123,1,-1,0,unknown,no
48,divorced,secondary,yes,20,no,no,cellular,145,3,-1,0,unknown,no
33,married,secondary,no,3576,yes,no,cellular,124,1,308,2,other,no
57,married,unknown,no,206,yes,no,unknown,216,3,-1,0,unknown,no
57,married,primary,no,7082,no,no,unknown,69,3,-1,0,unknown,no
51,married,tertiary,no,1634,yes,no,cellular,168,4,-1,0,unknown,no
34,single,secondary,no,1,yes,no,cellular,483,7,-1,0,unknown,no
50,married,tertiary,no,4012,no,no,cellular,690,3,-1,0,unknown,no
44,married,tertiary,no,3762,no,no,cellular,125,12,-1,0,unknown,no
27,married,secondary,no,-247,yes,yes,unknown,344,2,-1,0,unknown,no
50,married,secondary,no,606,yes,no,unknown,673,2,-1,0,unknown,no
36,married,tertiary,no,0,yes,no,cellular,60,1,250,1,other,no
42,married,secondary,no,-189,yes,no,unknown,247,2,-1,0,unknown,no
32,single,secondary,no,0,no,no,cellular,123,2,-1,0,unknown,no
42,married,tertiary,no,484,yes,no,cellular,144,2,-1,0,unknown,no
43,married,secondary,no,0,no,yes,cellular,9,2,172,5,failure,no
31,married,tertiary,no,395,yes,no,cellular,155,3,-1,0,unknown,no
32,married,tertiary,no,2349,no,no,cellular,134,5,-1,0,unknown,no
55,divorced,primary,no,410,no,yes,cellular,221,2,-1,0,unknown,no
58,married,primary,no,3401,yes,no,cellular,84,3,265,2,failure,no
46,married,primary,no,222,no,no,cellular,71,2,-1,0,unknown,no
55,married,secondary,no,989,yes,yes,unknown,246,4,-1,0,unknown,no
34,married,tertiary,no,415,no,yes,cellular,361,2,-1,0,unknown,no
28,single,secondary,no,16,no,no,cellular,119,4,-1,0,unknown,no
42,divorced,tertiary,no,7190,yes,no,cellular,375,2,-1,0,unknown,no
29,single,secondary,no,482,no,yes,cellular,1097,3,-1,0,unknown,yes
54,married,secondary,no,209,yes,yes,cellular,97,1,-1,0,unknown,no
32,single,secondary,no,0,no,no,cellular,181,2,-1,0,unknown,no
39,single,tertiary,no,5803,no,no,cellular,83,3,-1,0,unknown,no
53,married,tertiary,no,624,no,yes,cellular,180,4,-1,0,unknown,no
58,married,tertiary,no,883,no,no,cellular,543,1,78,2,failure,no
40,married,secondary,no,1516,yes,yes,unknown,373,1,-1,0,unknown,no
29,single,secondary,no,872,yes,no,unknown,230,1,-1,0,unknown,no
33,married,tertiary,no,-988,yes,yes,cellular,83,3,-1,0,unknown,no
38,single,secondary,no,902,yes,no,telephone,58,13,-1,0,unknown,no
56,divorced,secondary,no,1007,no,no,cellular,88,6,-1,0,unknown,no
40,married,secondary,no,0,yes,no,cellular,297,1,28,3,failure,no
24,single,secondary,no,174,yes,yes,cellular,487,1,-1,0,unknown,yes
46,married,secondary,no,12186,no,no,unknown,29,3,-1,0,unknown,no
35,married,secondary,no,524,yes,no,cellular,484,4,-1,0,unknown,no
35,single,tertiary,no,0,yes,no,cellular,262,4,-1,0,unknown,no
34,married,secondary,no,4,yes,no,unknown,644,1,-1,0,unknown,no
35,married,tertiary,no,11219,no,no,cellular,699,2,79,1,failure,no
38,single,tertiary,no,0,no,no,cellular,247,2,-1,0,unknown,no
50,married,primary,no,5776,no,no,cellular,49,3,-1,0,unknown,no
51,divorced,primary,no,37,yes,no,cellular,341,1,-1,0,unknown,no
59,married,tertiary,no,593,no,no,unknown,64,2,-1,0,unknown,no
32,married,secondary,no,1148,yes,no,cellular,121,1,-1,0,unknown,no
37,single,secondary,no,3561,yes,no,unknown,98,1,-1,0,unknown,no
42,divorced,secondary,no,63,no,no,unknown,88,6,-1,0,unknown,no
40,married,secondary,no,260,no,no,unknown,197,6,-1,0,unknown,no
28,single,tertiary,no,2269,yes,no,unknown,331,1,-1,0,unknown,no
47,married,secondary,no,1060,yes,no,unknown,83,3,-1,0,unknown,no
27,married,secondary,no,-220,yes,no,unknown,138,2,-1,0,unknown,no
41,married,tertiary,no,49,yes,no,cellular,312,5,-1,0,unknown,no
34,married,tertiary,no,69,no,yes,cellular,120,3,1,6,success,yes
50,married,primary,no,4108,yes,no,cellular,526,2,-1,0,unknown,yes
47,married,secondary,no,480,yes,no,unknown,211,2,-1,0,unknown,no
53,married,secondary,no,4994,no,no,cellular,62,6,-1,0,unknown,no
53,divorced,secondary,no,0,yes,yes,cellular,135,5,-1,0,unknown,no
47,married,tertiary,no,3681,no,no,cellular,101,2,-1,0,unknown,no
49,divorced,unknown,yes,-701,yes,no,cellular,988,2,-1,0,unknown,yes
29,married,tertiary,no,451,no,no,cellular,451,1,-1,0,unknown,no
45,divorced,primary,no,-311,yes,no,unknown,1030,1,-1,0,unknown,yes
38,married,secondary,no,593,yes,yes,cellular,1484,24,-1,0,unknown,yes
32,married,secondary,no,759,yes,no,cellular,317,5,-1,0,unknown,yes
70,divorced,primary,no,4531,no,no,cellular,445,1,-1,0,unknown,no
65,divorced,primary,no,1840,no,no,cellular,383,2,188,5,failure,no
56,married,secondary,no,345,yes,no,telephone,605,1,-1,0,unknown,no
35,married,secondary,no,1287,yes,no,cellular,330,2,-1,0,unknown,no
56,married,unknown,no,353,no,yes,cellular,171,2,-1,0,unknown,no
56,married,secondary,no,205,no,yes,cellular,442,2,-1,0,unknown,no
49,married,secondary,no,687,yes,no,cellular,772,1,-1,0,unknown,yes
38,married,primary,no,1147,yes,yes,unknown,249,5,-1,0,unknown,no
35,married,tertiary,no,4286,yes,no,unknown,357,1,-1,0,unknown,no
38,married,tertiary,no,605,no,no,cellular,147,2,-1,0,unknown,no
49,married,secondary,no,8545,yes,yes,cellular,199,7,167,1,failure,no
55,married,unknown,no,559,no,no,cellular,271,2,-1,0,unknown,no
43,single,primary,no,2,yes,no,cellular,783,3,-1,0,unknown,no
43,married,tertiary,no,2,no,yes,cellular,472,2,-1,0,unknown,no
25,single,tertiary,no,760,yes,no,cellular,223,3,89,2,failure,yes
30,married,primary,no,1317,yes,no,unknown,395,2,-1,0,unknown,no
46,married,secondary,no,182,no,no,cellular,56,1,-1,0,unknown,no
50,married,primary,no,276,no,yes,unknown,641,6,-1,0,unknown,no
35,married,secondary,no,2971,no,no,cellular,429,4,164,2,failure,yes
26,single,secondary,no,1064,no,no,unknown,113,1,-1,0,unknown,no
45,married,unknown,no,1783,no,no,unknown,11,11,-1,0,unknown,no
37,married,secondary,no,-67,no,no,cellular,157,1,-1,0,unknown,no
60,single,tertiary,no,179,no,yes,cellular,79,4,-1,0,unknown,no
38,married,tertiary,no,1199,no,no,cellular,178,1,1,1,success,yes
47,married,primary,no,214,yes,yes,unknown,168,1,-1,0,unknown,no
33,married,secondary,no,6699,no,no,cellular,425,1,462,1,failure,no
51,married,secondary,no,1760,no,yes,cellular,162,1,-1,0,unknown,no
35,single,tertiary,no,145,yes,no,cellular,799,2,-1,0,unknown,yes
35,married,secondary,no,978,no,no,cellular,1370,3,209,3,success,yes
48,single,secondary,no,1150,yes,no,unknown,357,1,-1,0,unknown,no
37,married,secondary,no,121,no,no,cellular,22,6,-1,0,unknown,no
29,single,tertiary,no,828,yes,no,cellular,215,3,321,3,other,no
34,married,secondary,no,244,yes,no,cellular,56,4,-1,0,unknown,no
32,married,primary,no,228,yes,no,cellular,1017,6,-1,0,unknown,yes
30,single,tertiary,no,424,no,no,cellular,298,4,-1,0,unknown,yes
47,divorced,tertiary,no,447,no,yes,unknown,126,1,-1,0,unknown,no
33,married,primary,no,-195,no,no,unknown,9,1,-1,0,unknown,no
33,single,tertiary,no,1410,yes,no,cellular,8,1,254,5,failure,no
63,married,primary,no,1084,no,no,cellular,201,1,183,1,success,no
51,divorced,primary,no,10924,no,no,cellular,106,2,-1,0,unknown,no
41,married,tertiary,no,832,yes,yes,cellular,164,1,176,1,failure,no
56,married,tertiary,no,478,no,no,cellular,97,1,-1,0,unknown,no
60,single,tertiary,no,0,no,yes,cellular,151,1,-1,0,unknown,no
41,single,tertiary,no,3950,yes,no,unknown,96,2,-1,0,unknown,no
37,single,unknown,no,504,yes,no,cellular,555,1,-1,0,unknown,no
36,single,secondary,no,219,yes,yes,cellular,270,2,347,1,failure,no
57,married,tertiary,no,1602,no,no,cellular,339,3,-1,0,unknown,no
55,married,primary,no,2587,no,no,cellular,328,2,94,2,success,yes
44,married,secondary,no,0,yes,yes,unknown,159,1,-1,0,unknown,no
47,married,tertiary,no,2303,yes,no,cellular,323,2,364,1,failure,no
31,married,secondary,no,1660,yes,no,cellular,342,1,-1,0,unknown,no
35,married,tertiary,yes,32,yes,no,cellular,180,1,-1,0,unknown,no
39,married,tertiary,no,278,no,yes,cellular,60,3,-1,0,unknown,no
50,married,tertiary,no,4,no,no,cellular,223,1,96,2,failure,no
29,married,tertiary,no,318,yes,no,cellular,1434,2,356,4,failure,no
30,single,secondary,no,209,yes,no,unknown,30,2,-1,0,unknown,no
46,married,secondary,no,271,yes,no,unknown,134,4,-1,0,unknown,no
27,single,unknown,no,3196,no,no,cellular,10,2,-1,0,unknown,no
48,divorced,secondary,no,4099,no,no,cellular,397,2,-1,0,unknown,yes
26,single,secondary,no,2572,yes,no,cellular,620,1,-1,0,unknown,no
36,single,tertiary,no,339,no,no,cellular,6,6,-1,0,unknown,no
42,married,primary,no,0,yes,yes,cellular,209,2,-1,0,unknown,no
50,married,primary,no,395,yes,no,unknown,419,2,-1,0,unknown,no
49,married,secondary,no,2039,yes,no,cellular,283,2,-1,0,unknown,no
45,married,tertiary,no,5450,no,no,cellular,188,2,-1,0,unknown,no
23,single,secondary,no,780,no,no,cellular,267,1,-1,0,unknown,no
38,single,secondary,no,0,yes,no,cellular,196,2,-1,0,unknown,no
32,single,tertiary,no,8436,yes,no,cellular,245,1,149,2,failure,no
60,single,primary,no,11262,no,no,cellular,323,1,-1,0,unknown,yes
30,married,secondary,no,946,yes,no,cellular,1065,1,183,1,other,no
58,married,tertiary,no,497,no,no,unknown,138,5,-1,0,unknown,no
60,married,primary,no,55,no,no,cellular,207,1,-1,0,unknown,no
38,married,secondary,no,-140,no,no,unknown,456,3,-1,0,unknown,no
51,married,secondary,no,-379,yes,no,cellular,261,1,-1,0,unknown,no
42,married,secondary,no,-396,yes,no,cellular,80,1,308,4,failure,no
30,single,secondary,no,0,yes,no,cellular,131,6,363,9,failure,no
40,married,primary,no,733,yes,no,unknown,94,7,-1,0,unknown,no
37,married,tertiary,no,393,yes,no,cellular,567,3,275,4,failure,yes
53,divorced,primary,no,7290,yes,no,unknown,153,1,-1,0,unknown,no
27,single,secondary,no,468,yes,no,cellular,109,1,-1,0,unknown,no
39,married,secondary,no,0,yes,no,cellular,53,1,325,1,failure,no
39,married,primary,no,3705,yes,no,unknown,77,1,-1,0,unknown,no
59,married,tertiary,no,9676,no,no,telephone,234,2,-1,0,unknown,yes
37,married,secondary,no,1328,yes,no,telephone,121,2,341,4,failure,no
