rel_compact,surface,wall,roof,height,orientation,glazing_area,glazing_area_dist,heating_load,cooling_load
0.66,759.50,318.50,220.50,3.50,2,0.10,1,12.00,14.00
0.66,759.50,318.50,220.50,3.50,3,0.10,1,12.00,14.00
0.66,759.50,318.50,220.50,3.50,4,0.10,1,12.00,14.00
0.66,759.50,318.50,220.50,3.50,5,0.10,1,12.00,14.00
0.64,784.00,343.00,220.50,3.50,2,0.10,1,15.00,19.00
0.64,784.00,343.00,220.50,3.50,3,0.10,1,15.00,19.00
0.64,784.00,343.00,220.50,3.50,4,0.10,1,15.00,19.00
0.64,784.00,343.00,220.50,3.50,5,0.10,1,15.00,19.00
0.62,808.50,367.50,220.50,3.50,2,0.10,1,13.00,14.00
0.62,808.50,367.50,220.50,3.50,3,0.10,1,13.00,15.00
0.62,808.50,367.50,220.50,3.50,4,0.10,1,13.00,14.00
0.62,808.50,367.50,220.50,3.50,5,0.10,1,13.00,14.00
0.98,514.50,294.00,110.25,7.00,2,0.10,2,24.00,26.00
0.98,514.50,294.00,110.25,7.00,3,0.10,2,24.00,26.00
0.98,514.50,294.00,110.25,7.00,4,0.10,2,24.00,26.00
0.98,514.50,294.00,110.25,7.00,5,0.10,2,24.00,26.00
0.90,563.50,318.50,122.50,7.00,2,0.10,2,29.00,33.00
0.90,563.50,318.50,122.50,7.00,3,0.10,2,30.00,29.00
0.90,563.50,318.50,122.50,7.00,4,0.10,2,29.00,29.00
0.90,563.50,318.50,122.50,7.00,5,0.10,2,28.00,34.00
0.86,588.00,294.00,147.00,7.00,2,0.10,2,26.00,31.00
0.86,588.00,294.00,147.00,7.00,3,0.10,2,27.00,26.00
0.86,588.00,294.00,147.00,7.00,4,0.10,2,26.00,27.00
0.86,588.00,294.00,147.00,7.00,5,0.10,2,25.00,32.00
0.82,612.50,318.50,147.00,7.00,2,0.10,2,24.00,27.00
0.82,612.50,318.50,147.00,7.00,3,0.10,2,24.00,25.00
0.82,612.50,318.50,147.00,7.00,4,0.10,2,24.00,25.00
0.82,612.50,318.50,147.00,7.00,5,0.10,2,23.00,29.00
0.79,637.00,343.00,147.00,7.00,2,0.10,2,36.00,41.00
0.79,637.00,343.00,147.00,7.00,3,0.10,2,37.00,35.00
0.79,637.00,343.00,147.00,7.00,4,0.10,2,37.00,34.00
0.79,637.00,343.00,147.00,7.00,5,0.10,2,36.00,43.00
0.76,661.50,416.50,122.50,7.00,2,0.10,2,33.00,34.00
0.76,661.50,416.50,122.50,7.00,3,0.10,2,32.00,34.00
0.76,661.50,416.50,122.50,7.00,4,0.10,2,33.00,34.00
0.76,661.50,416.50,122.50,7.00,5,0.10,2,32.00,34.00
0.74,686.00,245.00,220.50,3.50,2,0.10,2,10.00,13.00
0.74,686.00,245.00,220.50,3.50,3,0.10,2,10.00,14.00
0.74,686.00,245.00,220.50,3.50,4,0.10,2,10.00,14.00
0.74,686.00,245.00,220.50,3.50,5,0.10,2,10.00,14.00
0.71,710.50,269.50,220.50,3.50,2,0.10,2,11.00,14.00
0.71,710.50,269.50,220.50,3.50,3,0.10,2,11.00,14.00
0.71,710.50,269.50,220.50,3.50,4,0.10,2,11.00,14.00
0.71,710.50,269.50,220.50,3.50,5,0.10,2,11.00,14.00
0.69,735.00,294.00,220.50,3.50,2,0.10,2,11.00,13.00
0.69,735.00,294.00,220.50,3.50,3,0.10,2,11.00,14.00
0.69,735.00,294.00,220.50,3.50,4,0.10,2,11.00,13.00
0.69,735.00,294.00,220.50,3.50,5,0.10,2,11.00,14.00
0.66,759.50,318.50,220.50,3.50,2,0.10,2,11.00,15.00
0.66,759.50,318.50,220.50,3.50,3,0.10,2,11.00,15.00
0.66,759.50,318.50,220.50,3.50,4,0.10,2,11.00,15.00
0.66,759.50,318.50,220.50,3.50,5,0.10,2,11.00,15.00
0.64,784.00,343.00,220.50,3.50,2,0.10,2,15.00,19.00
0.64,784.00,343.00,220.50,3.50,3,0.10,2,15.00,19.00
0.64,784.00,343.00,220.50,3.50,4,0.10,2,15.00,19.00
0.64,784.00,343.00,220.50,3.50,5,0.10,2,15.00,19.00
0.62,808.50,367.50,220.50,3.50,2,0.10,2,13.00,14.00
0.62,808.50,367.50,220.50,3.50,3,0.10,2,13.00,15.00
0.62,808.50,367.50,220.50,3.50,4,0.10,2,13.00,14.00
0.62,808.50,367.50,220.50,3.50,5,0.10,2,13.00,14.00
0.98,514.50,294.00,110.25,7.00,2,0.10,3,24.00,26.00
0.98,514.50,294.00,110.25,7.00,3,0.10,3,24.00,26.00
0.98,514.50,294.00,110.25,7.00,4,0.10,3,24.00,26.00
0.98,514.50,294.00,110.25,7.00,5,0.10,3,24.00,26.00
0.90,563.50,318.50,122.50,7.00,2,0.10,3,28.00,34.00
0.90,563.50,318.50,122.50,7.00,3,0.10,3,29.00,33.00
0.90,563.50,318.50,122.50,7.00,4,0.10,3,30.00,30.00
0.90,563.50,318.50,122.50,7.00,5,0.10,3,29.00,30.00
0.86,588.00,294.00,147.00,7.00,2,0.10,3,25.00,32.00
0.86,588.00,294.00,147.00,7.00,3,0.10,3,26.00,31.00
0.86,588.00,294.00,147.00,7.00,4,0.10,3,27.00,26.00
0.86,588.00,294.00,147.00,7.00,5,0.10,3,26.00,27.00
0.82,612.50,318.50,147.00,7.00,2,0.10,3,23.00,29.00
0.82,612.50,318.50,147.00,7.00,3,0.10,3,24.00,28.00
0.82,612.50,318.50,147.00,7.00,4,0.10,3,24.00,25.00
0.82,612.50,318.50,147.00,7.00,5,0.10,3,24.00,25.00
0.79,637.00,343.00,147.00,7.00,2,0.10,3,36.00,43.00
0.79,637.00,343.00,147.00,7.00,3,0.10,3,35.00,41.00
0.79,637.00,343.00,147.00,7.00,4,0.10,3,37.00,35.00
0.79,637.00,343.00,147.00,7.00,5,0.10,3,37.00,34.00
0.76,661.50,416.50,122.50,7.00,2,0.10,3,33.00,34.00
0.76,661.50,416.50,122.50,7.00,3,0.10,3,33.00,34.00
0.76,661.50,416.50,122.50,7.00,4,0.10,3,32.00,34.00
0.76,661.50,416.50,122.50,7.00,5,0.10,3,33.00,35.00
0.74,686.00,245.00,220.50,3.50,2,0.10,3,10.00,14.00
0.74,686.00,245.00,220.50,3.50,3,0.10,3,10.00,13.00
0.74,686.00,245.00,220.50,3.50,4,0.10,3,10.00,14.00
0.74,686.00,245.00,220.50,3.50,5,0.10,3,10.00,13.00
0.71,710.50,269.50,220.50,3.50,2,0.10,3,11.00,14.00
0.71,710.50,269.50,220.50,3.50,3,0.10,3,11.00,14.00
0.71,710.50,269.50,220.50,3.50,4,0.10,3,11.00,14.00
0.71,710.50,269.50,220.50,3.50,5,0.10,3,11.00,14.00
0.69,735.00,294.00,220.50,3.50,2,0.10,3,11.00,14.00
0.69,735.00,294.00,220.50,3.50,3,0.10,3,11.00,14.00
0.69,735.00,294.00,220.50,3.50,4,0.10,3,11.00,15.00
0.69,735.00,294.00,220.50,3.50,5,0.10,3,11.00,14.00
0.66,759.50,318.50,220.50,3.50,2,0.10,3,12.00,13.00
0.66,759.50,318.50,220.50,3.50,3,0.10,3,12.00,14.00
0.66,759.50,318.50,220.50,3.50,4,0.10,3,12.00,14.00
0.66,759.50,318.50,220.50,3.50,5,0.10,3,12.00,14.00
0.64,784.00,343.00,220.50,3.50,2,0.10,3,15.00,19.00
0.64,784.00,343.00,220.50,3.50,3,0.10,3,15.00,19.00
0.64,784.00,343.00,220.50,3.50,4,0.10,3,15.00,19.00
0.64,784.00,343.00,220.50,3.50,5,0.10,3,15.00,19.00
0.62,808.50,367.50,220.50,3.50,2,0.10,3,13.00,14.00
0.62,808.50,367.50,220.50,3.50,3,0.10,3,13.00,14.00
0.62,808.50,367.50,220.50,3.50,4,0.10,3,13.00,14.00
0.62,808.50,367.50,220.50,3.50,5,0.10,3,13.00,14.00
0.98,514.50,294.00,110.25,7.00,2,0.10,4,24.00,26.00
0.98,514.50,294.00,110.25,7.00,3,0.10,4,24.00,26.00
0.98,514.50,294.00,110.25,7.00,4,0.10,4,24.00,26.00
0.98,514.50,294.00,110.25,7.00,5,0.10,4,24.00,26.00
0.90,563.50,318.50,122.50,7.00,2,0.10,4,29.00,29.00
0.90,563.50,318.50,122.50,7.00,3,0.10,4,28.00,34.00
0.90,563.50,318.50,122.50,7.00,4,0.10,4,29.00,33.00
0.90,563.50,318.50,122.50,7.00,5,0.10,4,30.00,30.00
0.86,588.00,294.00,147.00,7.00,2,0.10,4,26.00,27.00
0.86,588.00,294.00,147.00,7.00,3,0.10,4,25.00,32.00
0.86,588.00,294.00,147.00,7.00,4,0.10,4,26.00,31.00
0.86,588.00,294.00,147.00,7.00,5,0.10,4,27.00,26.00
0.82,612.50,318.50,147.00,7.00,2,0.10,4,24.00,25.00
0.82,612.50,318.50,147.00,7.00,3,0.10,4,23.00,29.00
0.82,612.50,318.50,147.00,7.00,4,0.10,4,24.00,28.00
0.82,612.50,318.50,147.00,7.00,5,0.10,4,24.00,25.00
0.79,637.00,343.00,147.00,7.00,2,0.10,4,37.00,34.00
0.79,637.00,343.00,147.00,7.00,3,0.10,4,36.00,43.00
0.79,637.00,343.00,147.00,7.00,4,0.10,4,35.00,42.00
0.79,637.00,343.00,147.00,7.00,5,0.10,4,37.00,35.00
0.76,661.50,416.50,122.50,7.00,2,0.10,4,33.00,34.00
0.76,661.50,416.50,122.50,7.00,3,0.10,4,32.00,34.00
0.76,661.50,416.50,122.50,7.00,4,0.10,4,33.00,34.00
0.76,661.50,416.50,122.50,7.00,5,0.10,4,32.00,34.00
0.74,686.00,245.00,220.50,3.50,2,0.10,4,10.00,13.00
0.74,686.00,245.00,220.50,3.50,3,0.10,4,10.00,13.00
0.74,686.00,245.00,220.50,3.50,4,0.10,4,10.00,13.00
0.74,686.00,245.00,220.50,3.50,5,0.10,4,10.00,14.00
0.71,710.50,269.50,220.50,3.50,2,0.10,4,11.00,14.00
0.71,710.50,269.50,220.50,3.50,3,0.10,4,11.00,14.00
0.71,710.50,269.50,220.50,3.50,4,0.10,4,11.00,14.00
0.71,710.50,269.50,220.50,3.50,5,0.10,4,11.00,14.00
0.69,735.00,294.00,220.50,3.50,2,0.10,4,11.00,14.00
0.69,735.00,294.00,220.50,3.50,3,0.10,4,11.00,14.00
0.69,735.00,294.00,220.50,3.50,4,0.10,4,11.00,14.00
0.69,735.00,294.00,220.50,3.50,5,0.10,4,11.00,15.00
0.66,759.50,318.50,220.50,3.50,2,0.10,4,11.00,15.00
0.66,759.50,318.50,220.50,3.50,3,0.10,4,11.00,15.00
0.66,759.50,318.50,220.50,3.50,4,0.10,4,11.00,15.00
0.66,759.50,318.50,220.50,3.50,5,0.10,4,11.00,15.00
0.64,784.00,343.00,220.50,3.50,2,0.10,4,15.00,19.00
0.64,784.00,343.00,220.50,3.50,3,0.10,4,15.00,19.00
0.64,784.00,343.00,220.50,3.50,4,0.10,4,15.00,19.00
0.64,784.00,343.00,220.50,3.50,5,0.10,4,15.00,19.00
0.62,808.50,367.50,220.50,3.50,2,0.10,4,13.00,14.00
0.62,808.50,367.50,220.50,3.50,3,0.10,4,13.00,14.00
0.62,808.50,367.50,220.50,3.50,4,0.10,4,13.00,14.00
0.62,808.50,367.50,220.50,3.50,5,0.10,4,13.00,14.00
0.98,514.50,294.00,110.25,7.00,2,0.10,5,24.00,26.00
0.98,514.50,294.00,110.25,7.00,3,0.10,5,24.00,26.00
0.98,514.50,294.00,110.25,7.00,4,0.10,5,24.00,26.00
0.98,514.50,294.00,110.25,7.00,5,0.10,5,24.00,26.00
0.90,563.50,318.50,122.50,7.00,2,0.10,5,30.00,30.00
0.90,563.50,318.50,122.50,7.00,3,0.10,5,29.00,30.00
0.90,563.50,318.50,122.50,7.00,4,0.10,5,28.00,34.00
0.90,563.50,318.50,122.50,7.00,5,0.10,5,29.00,33.00
0.86,588.00,294.00,147.00,7.00,2,0.10,5,27.00,26.00
0.86,588.00,294.00,147.00,7.00,3,0.10,5,26.00,27.00
0.86,588.00,294.00,147.00,7.00,4,0.10,5,25.00,32.00
0.86,588.00,294.00,147.00,7.00,5,0.10,5,26.00,31.00
0.82,612.50,318.50,147.00,7.00,2,0.10,5,24.00,25.00
0.82,612.50,318.50,147.00,7.00,3,0.10,5,24.00,25.00
0.82,612.50,318.50,147.00,7.00,4,0.10,5,23.00,29.00
0.82,612.50,318.50,147.00,7.00,5,0.10,5,24.00,28.00
0.79,637.00,343.00,147.00,7.00,2,0.10,5,37.00,35.00
0.79,637.00,343.00,147.00,7.00,3,0.10,5,37.00,34.00
0.79,637.00,343.00,147.00,7.00,4,0.10,5,37.00,43.00
0.79,637.00,343.00,147.00,7.00,5,0.10,5,35.00,41.00
0.76,661.50,416.50,122.50,7.00,2,0.10,5,32.00,34.00
0.76,661.50,416.50,122.50,7.00,3,0.10,5,33.00,34.00
0.76,661.50,416.50,122.50,7.00,4,0.10,5,32.00,34.00
0.76,661.50,416.50,122.50,7.00,5,0.10,5,33.00,34.00
0.74,686.00,245.00,220.50,3.50,2,0.10,5,10.00,14.00
0.74,686.00,245.00,220.50,3.50,3,0.10,5,10.00,13.00
0.74,686.00,245.00,220.50,3.50,4,0.10,5,10.00,14.00
0.74,686.00,245.00,220.50,3.50,5,0.10,5,10.00,14.00
0.71,710.50,269.50,220.50,3.50,2,0.10,5,11.00,14.00
0.71,710.50,269.50,220.50,3.50,3,0.10,5,11.00,14.00
0.71,710.50,269.50,220.50,3.50,4,0.10,5,11.00,14.00
0.71,710.50,269.50,220.50,3.50,5,0.10,5,14.00,14.00
0.69,735.00,294.00,220.50,3.50,2,0.10,5,11.00,15.00
0.69,735.00,294.00,220.50,3.50,3,0.10,5,11.00,14.00
0.69,735.00,294.00,220.50,3.50,4,0.10,5,11.00,14.00
0.69,735.00,294.00,220.50,3.50,5,0.10,5,11.00,14.00
0.66,759.50,318.50,220.50,3.50,2,0.10,5,11.00,15.00
0.66,759.50,318.50,220.50,3.50,3,0.10,5,11.00,15.00
0.66,759.50,318.50,220.50,3.50,4,0.10,5,11.00,15.00
0.66,759.50,318.50,220.50,3.50,5,0.10,5,11.00,15.00
0.64,784.00,343.00,220.50,3.50,2,0.10,5,15.00,19.00
0.64,784.00,343.00,220.50,3.50,3,0.10,5,15.00,19.00
0.64,784.00,343.00,220.50,3.50,4,0.10,5,15.00,19.00
0.64,784.00,343.00,220.50,3.50,5,0.10,5,15.00,19.00
0.62,808.50,367.50,220.50,3.50,2,0.10,5,13.00,14.00
0.62,808.50,367.50,220.50,3.50,3,0.10,5,13.00,14.00
0.62,808.50,367.50,220.50,3.50,4,0.10,5,13.00,14.00
0.62,808.50,367.50,220.50,3.50,5,0.10,5,13.00,14.00
0.98,514.50,294.00,110.25,7.00,2,0.25,1,28.00,30.00
0.98,514.50,294.00,110.25,7.00,3,0.25,1,28.00,30.00
0.98,514.50,294.00,110.25,7.00,4,0.25,1,28.00,29.00
0.98,514.50,294.00,110.25,7.00,5,0.25,1,28.00,29.00
0.90,563.50,318.50,122.50,7.00,2,0.25,1,33.00,36.00
0.90,563.50,318.50,122.50,7.00,3,0.25,1,33.00,33.00
0.90,563.50,318.50,122.50,7.00,4,0.25,1,33.00,33.00
0.90,563.50,318.50,122.50,7.00,5,0.25,1,32.00,38.00
0.86,588.00,294.00,147.00,7.00,2,0.25,1,30.00,34.00
0.86,588.00,294.00,147.00,7.00,3,0.25,1,30.00,29.00
0.86,588.00,294.00,147.00,7.00,4,0.25,1,30.00,30.00
0.86,588.00,294.00,147.00,7.00,5,0.25,1,29.00,35.00
0.82,612.50,318.50,147.00,7.00,2,0.25,1,27.00,30.00
0.82,612.50,318.50,147.00,7.00,3,0.25,1,27.00,28.00
0.82,612.50,318.50,147.00,7.00,4,0.25,1,27.00,27.00
0.82,612.50,318.50,147.00,7.00,5,0.25,1,26.00,31.00
0.79,637.00,343.00,147.00,7.00,2,0.25,1,39.00,44.00
0.79,637.00,343.00,147.00,7.00,3,0.25,1,40.00,38.00
0.79,637.00,343.00,147.00,7.00,4,0.25,1,40.00,37.00
0.79,637.00,343.00,147.00,7.00,5,0.25,1,39.00,46.00
0.76,661.50,416.50,122.50,7.00,2,0.25,1,37.00,37.00
0.76,661.50,416.50,122.50,7.00,3,0.25,1,36.00,38.00
0.76,661.50,416.50,122.50,7.00,4,0.25,1,37.00,37.00
0.76,661.50,416.50,122.50,7.00,5,0.25,1,36.00,37.00
0.74,686.00,245.00,220.50,3.50,2,0.25,1,12.00,15.00
0.74,686.00,245.00,220.50,3.50,3,0.25,1,13.00,16.00
0.74,686.00,245.00,220.50,3.50,4,0.25,1,12.00,15.00
0.74,686.00,245.00,220.50,3.50,5,0.25,1,12.00,16.00
0.71,710.50,269.50,220.50,3.50,2,0.25,1,13.00,15.00
0.71,710.50,269.50,220.50,3.50,3,0.25,1,13.00,16.00
0.71,710.50,269.50,220.50,3.50,4,0.25,1,13.00,15.00
0.71,710.50,269.50,220.50,3.50,5,0.25,1,13.00,16.00
0.69,735.00,294.00,220.50,3.50,2,0.25,1,13.00,15.00
0.69,735.00,294.00,220.50,3.50,3,0.25,1,13.00,16.00
0.69,735.00,294.00,220.50,3.50,4,0.25,1,13.00,15.00
0.69,735.00,294.00,220.50,3.50,5,0.25,1,13.00,16.00
0.66,759.50,318.50,220.50,3.50,2,0.25,1,13.00,16.00
0.66,759.50,318.50,220.50,3.50,3,0.25,1,13.00,16.00
0.66,759.50,318.50,220.50,3.50,4,0.25,1,13.00,16.00
0.66,759.50,318.50,220.50,3.50,5,0.25,1,13.00,16.00
0.64,784.00,343.00,220.50,3.50,2,0.25,1,18.00,21.00
0.64,784.00,343.00,220.50,3.50,3,0.25,1,17.00,21.00
0.64,784.00,343.00,220.50,3.50,4,0.25,1,18.00,21.00
0.64,784.00,343.00,220.50,3.50,5,0.25,1,17.00,21.00
0.62,808.50,367.50,220.50,3.50,2,0.25,1,15.00,16.00
0.62,808.50,367.50,220.50,3.50,3,0.25,1,15.00,16.00
0.62,808.50,367.50,220.50,3.50,4,0.25,1,15.00,16.00
0.62,808.50,367.50,220.50,3.50,5,0.25,1,15.00,16.00
0.98,514.50,294.00,110.25,7.00,2,0.25,2,29.00,30.00
0.98,514.50,294.00,110.25,7.00,3,0.25,2,29.00,30.00
0.98,514.50,294.00,110.25,7.00,4,0.25,2,28.00,30.00
0.98,514.50,294.00,110.25,7.00,5,0.25,2,29.00,30.00
0.90,563.50,318.50,122.50,7.00,2,0.25,2,32.00,36.00
0.90,563.50,318.50,122.50,7.00,3,0.25,2,33.00,33.00
0.90,563.50,318.50,122.50,7.00,4,0.25,2,32.00,33.00
0.90,563.50,318.50,122.50,7.00,5,0.25,2,32.00,38.00
0.86,588.00,294.00,147.00,7.00,2,0.25,2,29.00,33.00
0.86,588.00,294.00,147.00,7.00,3,0.25,2,30.00,28.00
0.86,588.00,294.00,147.00,7.00,4,0.25,2,29.00,30.00
0.86,588.00,294.00,147.00,7.00,5,0.25,2,28.00,35.00
0.82,612.50,318.50,147.00,7.00,2,0.25,2,26.00,28.00
0.82,612.50,318.50,147.00,7.00,3,0.25,2,26.00,27.00
0.82,612.50,318.50,147.00,7.00,4,0.25,2,25.00,27.00
0.82,612.50,318.50,147.00,7.00,5,0.25,2,25.00,30.00
0.79,637.00,343.00,147.00,7.00,2,0.25,2,39.00,44.00
0.79,637.00,343.00,147.00,7.00,3,0.25,2,40.00,37.00
0.79,637.00,343.00,147.00,7.00,4,0.25,2,40.00,37.00
0.79,637.00,343.00,147.00,7.00,5,0.25,2,39.00,46.00
0.76,661.50,416.50,122.50,7.00,2,0.25,2,37.00,37.00
0.76,661.50,416.50,122.50,7.00,3,0.25,2,36.00,37.00
0.76,661.50,416.50,122.50,7.00,4,0.25,2,37.00,37.00
0.76,661.50,416.50,122.50,7.00,5,0.25,2,36.00,37.00
0.74,686.00,245.00,220.50,3.50,2,0.25,2,12.00,15.00
0.74,686.00,245.00,220.50,3.50,3,0.25,2,12.00,15.00
0.74,686.00,245.00,220.50,3.50,4,0.25,2,12.00,15.00
0.74,686.00,245.00,220.50,3.50,5,0.25,2,12.00,15.00
0.71,710.50,269.50,220.50,3.50,2,0.25,2,12.00,15.00
0.71,710.50,269.50,220.50,3.50,3,0.25,2,12.00,15.00
0.71,710.50,269.50,220.50,3.50,4,0.25,2,12.00,15.00
0.71,710.50,269.50,220.50,3.50,5,0.25,2,12.00,15.00
0.69,735.00,294.00,220.50,3.50,2,0.25,2,13.00,16.00
0.69,735.00,294.00,220.50,3.50,3,0.25,2,13.00,16.00
0.69,735.00,294.00,220.50,3.50,4,0.25,2,13.00,16.00
0.69,735.00,294.00,220.50,3.50,5,0.25,2,13.00,16.00
0.66,759.50,318.50,220.50,3.50,2,0.25,2,13.00,16.00
0.66,759.50,318.50,220.50,3.50,3,0.25,2,13.00,16.00
0.66,759.50,318.50,220.50,3.50,4,0.25,2,13.00,16.00
0.66,759.50,318.50,220.50,3.50,5,0.25,2,13.00,16.00
0.64,784.00,343.00,220.50,3.50,2,0.25,2,17.00,20.00
0.64,784.00,343.00,220.50,3.50,3,0.25,2,17.00,21.00
0.64,784.00,343.00,220.50,3.50,4,0.25,2,17.00,20.00
0.64,784.00,343.00,220.50,3.50,5,0.25,2,17.00,20.00
0.62,808.50,367.50,220.50,3.50,2,0.25,2,14.00,15.00
0.62,808.50,367.50,220.50,3.50,3,0.25,2,15.00,16.00
0.62,808.50,367.50,220.50,3.50,4,0.25,2,15.00,15.00
0.62,808.50,367.50,220.50,3.50,5,0.25,2,15.00,15.00
0.98,514.50,294.00,110.25,7.00,2,0.25,3,29.00,29.00
0.98,514.50,294.00,110.25,7.00,3,0.25,3,29.00,30.00
0.98,514.50,294.00,110.25,7.00,4,0.25,3,28.00,30.00
0.98,514.50,294.00,110.25,7.00,5,0.25,3,29.00,30.00
